Fold,Model,ImageSize,BatchSize,LR,Epoch,TrainLoss,ValLoss,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,Timestamp,ModelPath
orFold1,resnet50,224,16,0.005,1,186.5311737060547,37.80577754974365,0.5046666666666667,0.24489795918367346,0.5045256472758569,0.05997501041232819,0.5046666666666667,0.24489795918367346,0.5037316908509448,0.09635329541652726,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,2,144.4643807709217,2.472881034016609,0.6693333333333333,0.6938775510204082,0.6698740101669055,0.7942577030812326,0.6693333333333333,0.6938775510204082,0.669549087081141,0.6904780949333821,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,3,118.36684766411781,3.450424812734127,0.743,0.6530612244897959,0.7433852845607469,0.5493014410065101,0.743,0.6530612244897959,0.7430763901439551,0.5818400802944129,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,4,109.1212862432003,1.9316866546869278,0.7563333333333333,0.7551020408163265,0.7561785106922814,0.8452380952380953,0.7563333333333333,0.7551020408163265,0.7556393336940421,0.7596571603936956,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,5,99.21998128294945,7.161726236343384,0.776,0.4897959183673469,0.7769398576889912,0.7810495626822158,0.776,0.4897959183673469,0.7759610930317524,0.49882485922433817,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,6,91.50346809625626,2.7847798336297274,0.8013333333333333,0.8571428571428571,0.8012808874857034,0.8841698841698842,0.8013333333333333,0.8571428571428571,0.8007515402842624,0.8439058352552109,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,7,85.08111575245857,1.730924066156149,0.817,0.8163265306122449,0.8179387347995628,0.8340136054421767,0.817,0.8163265306122449,0.8167442373752001,0.8216970998925887,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,8,89.73261322081089,1.1406355258077383,0.806,0.8979591836734694,0.8065801885919969,0.9069889860706187,0.806,0.8979591836734694,0.8056064954595659,0.8990938885675728,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,9,74.39816929399967,1.5233012661337852,0.8383333333333334,0.7959183673469388,0.8390087610882224,0.8941326530612245,0.8383333333333334,0.7959183673469388,0.8381181852877352,0.8184110082956578,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
orFold1,resnet50,224,16,0.005,10,73.64952746778727,2.2023771160747856,0.84,0.7755102040816326,0.8415780763054941,0.8695500927643786,0.84,0.7755102040816326,0.8402764339959796,0.7944167633608628,20251204_110825,../models/resnet50_pretrained_20251204_110825_img224_bs16_lr0.005.pth
