Fold,Model,ImageSize,BatchSize,LR,Epoch,TrainLoss,ValLoss,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,Timestamp,ModelPath
orFold1,resnet50,224,16,0.001,1,98.34143973141909,8.45310565240652,0.7776666666666666,0.673469387755102,0.7787507423660958,0.7870452528837621,0.7776666666666666,0.673469387755102,0.777695440970165,0.5890363664262698,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,2,58.95930749550462,2.8458886528387666,0.874,0.8979591836734694,0.874734487823449,0.9125364431486879,0.874,0.8979591836734694,0.8739013213071116,0.8929356357927787,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,3,50.019936729222536,1.1126535031944513,0.896,0.8775510204081632,0.8967282342954116,0.9183673469387755,0.896,0.8775510204081632,0.8958222148654302,0.8829931972789116,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,4,46.74704578379169,0.41027235612273216,0.9036666666666666,0.9795918367346939,0.9037124463511724,0.9802501645819618,0.9036666666666666,0.9795918367346939,0.9035524705006436,0.9793154610382999,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,5,39.658832277171314,0.8254094198346138,0.9193333333333333,0.9387755102040817,0.9197115042554583,0.9412050534499514,0.9193333333333333,0.9387755102040817,0.919293200374092,0.9378176303115772,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,6,38.57256649713963,0.8367561288177967,0.9193333333333333,0.9183673469387755,0.9192558443345417,0.9259799157758342,0.9193333333333333,0.9183673469387755,0.9192526108008604,0.9195109078114004,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,7,38.839436502195895,0.42397144122514874,0.922,0.9795918367346939,0.922440669085063,0.9811616954474098,0.922,0.9795918367346939,0.921952488328153,0.9798270494638534,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,8,33.89258279465139,0.5463995100290049,0.9263333333333333,0.9387755102040817,0.9265896600247792,0.9443413729128015,0.9263333333333333,0.9387755102040817,0.9261369904856388,0.9358600583090378,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,9,32.587656423449516,0.6763941738754511,0.9293333333333333,0.9387755102040817,0.9299438081178011,0.9443413729128015,0.9293333333333333,0.9387755102040817,0.9292938810822086,0.9375930192256722,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,10,29.13891523121856,0.2502009058371186,0.9416666666666667,0.9795918367346939,0.9419810580741176,0.9802501645819618,0.9416666666666667,0.9795918367346939,0.9416799182212565,0.9793154610382999,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,11,31.315782359801233,1.5105223382124677,0.931,0.9387755102040817,0.9311945211847732,0.9443413729128015,0.931,0.9387755102040817,0.9310271647108299,0.9358600583090378,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,12,34.3073749486357,1.558618191163987,0.9306666666666666,0.8571428571428571,0.9307507151084828,0.8841698841698842,0.9306666666666666,0.8571428571428571,0.9306587467716902,0.8351937790041389,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,13,26.953410447575152,0.5183055974412127,0.9423333333333334,0.9183673469387755,0.9423913088126713,0.9279711884753902,0.9423333333333334,0.9183673469387755,0.9423251282753992,0.9127551020408163,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,14,28.742430922342464,0.15289450794807635,0.94,0.9795918367346939,0.9400524202747018,0.9802501645819618,0.94,0.9795918367346939,0.9399726063756164,0.9793154610382999,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,15,26.978539559524506,3.43067432846874,0.9436666666666667,0.8775510204081632,0.9436210782651461,0.8979591836734694,0.9436666666666667,0.8775510204081632,0.943605188433318,0.8715522572665431,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,16,25.726731080561876,0.11231467046309263,0.9476666666666667,1.0,0.9477961269104692,1.0,0.9476666666666667,1.0,0.9476658849201801,1.0,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,17,20.812761662702542,1.5435369028709829,0.9556666666666667,0.8775510204081632,0.9558191466184904,0.8979591836734694,0.9556666666666667,0.8775510204081632,0.9556632897676812,0.8715522572665431,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,18,26.976659543346614,8.138483800925314,0.9423333333333334,0.7755102040816326,0.9425059431235243,0.8357391737182678,0.9423333333333334,0.7755102040816326,0.9422689212225499,0.7335554681472292,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
orFold1,resnet50,224,16,0.001,19,26.906648746458814,0.35126555152237415,0.9473333333333334,0.9795918367346939,0.9474871450205141,0.9802501645819618,0.9473333333333334,0.9795918367346939,0.9472945737140636,0.9793154610382999,20251203_235103,../models/resnet50_pretrained_png4ch_20251203_235103_img224_bs16_lr0.001.pth
