Fold,Model,ImageSize,BatchSize,LR,EpochsUsed,Patience,ValF1Best,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,TrainLoss,ValLoss,TestAccuracy,TestPrecision,TestRecall,TestF1,TrainTimeSec,Timestamp,ModelPath
orFold1,resnet50,224,16,0.005,13,10,0.9591836734693877,0.8703333333333333,0.9591836734693877,0.8701849330048259,0.9591836734693877,0.8703333333333333,0.9591836734693877,0.8701234101589084,0.9591836734693877,57.19847917184234,0.7122773267328739,0.9056603773584906,0.9073458495247904,0.9056603773584906,0.9060437256663672,1066.33,20251204_121104,../models/resnet50_pretrained_png4ch_20251204_121104_img224_bs16_lr0.005.pth
orFold1,resnet50,224,32,0.005,11,10,0.9793154610382999,0.904,0.9795918367346939,0.9046905447300251,0.9802501645819618,0.904,0.9795918367346939,0.9039990138175299,0.9793154610382999,23.529678281396627,0.22258317470550537,0.8867924528301887,0.9011507360563964,0.8867924528301887,0.8881940700808626,913.88,20251204_122618,../models/resnet50_pretrained_png4ch_20251204_122618_img224_bs32_lr0.005.pth
orFold1,mobilenet,224,16,0.005,6,10,0.9798270494638534,0.8746666666666667,0.9795918367346939,0.8754314812337343,0.9811616954474098,0.8746666666666667,0.9795918367346939,0.8745684232482184,0.9798270494638534,59.83323422074318,0.28358279541134834,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962,454.77,20251204_123353,../models/mobilenet_pretrained_png4ch_20251204_123353_img224_bs16_lr0.005.pth
orFold1,mobilenet,224,32,0.005,6,10,0.9798270494638534,0.925,0.9795918367346939,0.9257084311367707,0.9811616954474098,0.925,0.9795918367346939,0.9249882296646051,0.9798270494638534,17.54417534172535,0.23522944003343582,0.9056603773584906,0.910414114187699,0.9056603773584906,0.9041834510793041,452.58,20251204_124126,../models/mobilenet_pretrained_png4ch_20251204_124126_img224_bs32_lr0.005.pth
orFold1,simplecnn,224,16,0.005,5,10,0.46499612503229143,0.3273333333333333,0.6122448979591837,0.3247399550359185,0.3748438150770513,0.3273333333333333,0.6122448979591837,0.3106804987238241,0.46499612503229143,206.68418776988983,4.37382173538208,0.6037735849056604,0.36454254182983264,0.6037735849056604,0.45460599334073254,355.35,20251204_124722,../models/simplecnn_pretrained_png4ch_20251204_124722_img224_bs16_lr0.005.pth
orFold1,simplecnn,224,32,0.005,1,10,0.46499612503229143,0.3253333333333333,0.6122448979591837,0.3007311301315324,0.3748438150770513,0.3253333333333333,0.6122448979591837,0.26440907950093506,0.46499612503229143,163.734476685524,2.182053565979004,0.6037735849056604,0.36454254182983264,0.6037735849056604,0.45460599334073254,456.16,20251204_125458,../models/simplecnn_pretrained_png4ch_20251204_125458_img224_bs32_lr0.005.pth
